GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
0100100,160,01,,,,,,Abanda CDP,192,79,,,192,,129,,58,,0,,0,,0,,2,,3,
0100124,160,01,,,,,,Abbeville city,2688,1255,2987,1353,2688,2987,1463,1692,1113,1193,2,0,26,2,0,0,53,85,31,15
0100460,160,01,,,,,,Adamsville city,4522,1990,4965,2042,4522,4965,2366,3763,2030,1133,23,20,14,7,1,1,50,8,38,33
0100484,160,01,,,,,,Addison town,758,351,723,339,758,723,751,719,1,1,0,1,1,1,0,0,0,0,5,1
0100676,160,01,,,,,,Akron town,356,205,521,239,356,521,47,93,308,422,0,0,0,0,0,0,0,0,1,6
0100820,160,01,,,,,,Alabaster city,30352,11295,22619,8594,30352,22619,24103,19839,4105,2250,124,71,271,144,10,4,1269,156,470,155
0100988,160,01,,,,,,Albertville city,21160,8128,17247,7090,21160,17247,16062,14859,405,353,170,54,97,45,30,17,3954,1687,442,232
0101132,160,01,,,,,,Alexander City city,14875,6834,15008,6855,14875,15008,9246,10589,4757,4258,35,19,139,42,2,3,561,23,135,74
0101180,160,01,,,,,,Alexandria CDP,3917,1599,3692,1467,3917,3692,3425,3265,400,360,12,10,18,22,10,4,19,9,33,22
0101228,160,01,,,,,,Aliceville
